"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms8",,,,"User:","arinaldi"
"Cmdline:","dstat --output Baseline2/2.2/Get/dstat4_1.csv 5 15",,,,"Date:","02 Dec 2017 13:59:48 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
4.097,6.059,78.313,0.725,10.806,0.0,13800.132,2687704.559,0.0,0.0,0.0,0.0,1402.740,1421.115
0.599,1.397,95.808,0.599,1.597,0.0,0.0,5734.400,120483.600,1610525.600,0.0,0.0,990.0,778.0
0.600,1.800,96.200,0.0,1.400,0.0,0.0,0.0,151202.0,2026618.800,0.0,0.0,1171.0,946.400
0.600,1.400,95.800,0.800,1.400,0.0,0.0,2457.600,150241.200,2012486.800,0.0,0.0,1164.200,939.600
0.600,1.400,96.800,0.0,1.200,0.0,0.0,819.200,129968.200,1740041.800,0.0,0.0,1053.800,835.800
0.600,1.800,95.400,0.800,1.400,0.0,0.0,7372.800,149320.400,2000334.0,0.0,0.0,1164.200,945.800
0.798,1.597,96.208,0.0,1.397,0.0,0.0,0.0,147403.600,1974497.200,0.0,0.0,1155.600,935.800
0.600,1.800,95.400,0.600,1.600,0.0,0.0,3276.800,158029.200,2116994.800,0.0,0.0,1253.600,1035.800
0.800,1.600,96.200,0.0,1.400,0.0,0.0,0.0,151914.0,2034959.600,0.0,0.0,1189.600,961.600
0.602,1.606,95.783,0.602,1.406,0.0,0.0,4096.0,156923.800,2101253.400,0.0,0.0,1218.400,990.0
0.800,1.600,96.200,0.0,1.400,0.0,0.0,0.0,153709.600,2058112.0,0.0,0.0,1194.200,973.0
0.598,1.793,93.625,2.390,1.594,0.0,0.0,2457.600,158533.200,2124846.0,0.0,0.0,1234.400,1005.800
0.602,1.606,96.386,0.0,1.406,0.0,0.0,0.0,156560.400,2097430.0,0.0,0.0,1221.0,993.200
0.798,1.796,95.210,0.798,1.397,0.0,0.0,2457.600,154106.800,2063917.400,0.0,0.0,1204.0,985.400
