"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms2",,,,"User:","arinaldi"
"Cmdline:","dstat --output Baseline2/2.1/Set/dstat32_2.csv 5 15",,,,"Date:","02 Dec 2017 10:42:45 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
1.535,2.670,94.010,1.199,0.585,0.0,48976.322,14530064.193,0.0,0.0,0.0,0.0,1072.067,915.060
9.462,12.450,71.912,0.199,5.976,0.0,0.0,8192.0,1276454.0,19370030.800,0.0,0.0,3154.0,2826.800
3.206,4.609,90.080,0.200,1.904,0.0,0.0,3276.800,514044.0,7796154.400,0.0,0.0,2111.800,2093.0
3.400,4.600,89.800,0.300,1.900,0.0,0.0,3276.800,532772.0,8079398.200,0.0,0.0,2229.400,2186.600
3.397,4.595,89.910,0.300,1.798,0.0,0.0,10649.600,526774.800,7989612.200,0.0,0.0,2224.800,2169.600
3.300,4.400,89.500,0.800,2.0,0.0,0.0,4096.0,521402.400,7902299.0,0.0,0.0,2205.800,2074.200
3.206,4.509,90.080,0.200,2.004,0.0,0.0,4096.0,511397.600,7762500.400,0.0,0.0,2111.600,2010.0
3.400,4.700,89.700,0.400,1.800,0.0,0.0,8192.0,525590.800,7971636.200,0.0,0.0,2131.200,2035.0
3.397,4.496,89.910,0.300,1.898,0.0,0.0,3276.800,529442.0,8028884.600,0.0,0.0,2087.0,2033.600
3.400,4.600,89.700,0.300,2.0,0.0,0.0,3276.800,537726.800,8155828.0,0.0,0.0,2123.200,2061.200
3.307,4.609,90.080,0.200,1.804,0.0,0.0,3276.800,521890.800,7915555.800,0.0,0.0,2182.400,2142.200
3.297,4.595,90.010,0.100,1.998,0.0,0.0,4915.200,528476.800,8015578.200,0.0,0.0,2227.200,2174.800
3.297,4.595,89.910,0.300,1.898,0.0,0.0,3276.800,520603.200,7896167.200,0.0,0.0,2228.0,2153.200
3.307,4.609,89.880,0.301,1.904,0.0,0.0,3276.800,522811.600,7928540.800,0.0,0.0,2201.200,2152.0
3.303,4.505,90.190,0.200,1.802,0.0,0.0,7372.800,519264.400,7875169.400,0.0,0.0,2235.0,2183.800
3.397,4.695,89.810,0.200,1.898,0.0,0.0,3276.800,525191.200,7965766.400,0.0,0.0,2266.800,2135.800


"Host:","foraslvms2",,,,"User:","arinaldi"
